Game-Phase,Tournament,Phase,Final VOD URL
RE - ALL - (PC-Fightcade)-Top 8,RE - ALL - (PC-Fightcade),Top 8,https://youtu.be/1MiTdjoYaRs
ROA - EU - (PC-Steam)-Full Tourney,ROA - EU - (PC-Steam),Full Tourney,https://www.twitch.tv/videos/1734412394
ROA - NA+LAN - (PC-Steam)-Top 8,ROA - NA+LAN - (PC-Steam),Top 8,https://youtu.be/ObgDSkC70c8
ROAW - ALL - (PC-Steam)-Pools,ROAW - ALL - (PC-Steam),Pools,https://www.youtube.com/watch?v=G3lIdfhTuug
ROAW - ALL - (PC-Steam)-Top 8,ROAW - ALL - (PC-Steam),Top 8,https://www.youtube.com/watch?v=cVNLFQ8-h_M
SCVI - NA - (PC)-Full Tourney,SCVI - NA - (PC),Full Tourney,https://www.youtube.com/watch?v=fa2IaEZFJVY
SDB - ALL - (PC-Fightcade)-Full Tourney,SDB - ALL - (PC-Fightcade),Full Tourney,https://youtu.be/kQfCHYThbUQ
SG - JP - (PC-Steam)-Full Tourney,SG - JP - (PC-Steam),Full Tourney,https://www.twitch.tv/videos/1758201893
SG - NA - (PC-Steam)-Full Tourney,SG - NA - (PC-Steam),Full Tourney,"https://youtu.be/1MP6Djid8sY

https://youtu.be/KA9c8ibEwdw"
SG - OCE - (PC-Steam)-Full Tourney,SG - OCE - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=jMDwEAhtPxA
SG - SA/BR - (PC-Steam)-Full Tourney,SG - SA/BR - (PC-Steam),Full Tourney,https://youtu.be/YhciPJ7N8ko
SG - SA/SUD - (PC-Steam)-Full Tourney,SG - SA/SUD - (PC-Steam),Full Tourney,https://www.youtube.com/watch?v=W-bh432UR3k
SOKU - JP+KR+SEA - (PC-Caster)-Full Tourney,SOKU - JP+KR+SEA - (PC-Caster),Full Tourney,https://www.youtube.com/watch?v=mrnbwbipupg
SOKU - NA+SA+EU - (PC-Caster)-Full Tourney,SOKU - NA+SA+EU - (PC-Caster),Full Tourney,https://youtu.be/6zvzayRatjc
SOKU - OCE - (PC-Caster)-Full Tourney,SOKU - OCE - (PC-Caster),Full Tourney,https://www.youtube.com/live/VNKMelo2GOE
SPLAT3 - NA - (Switch)-Full Tourney,SPLAT3 - NA - (Switch),Full Tourney,https://www.youtube.com/watch?v=b17QTwecMIA + https://www.youtube.com/watch?v=UC8mqtnL7BI
SS3 - ALL - (PC-Fightcade)-Full Tourney,SS3 - ALL - (PC-Fightcade),Full Tourney,https://youtu.be/7ZeFwQ_6fHM
