Event,Region,Game,VOD,Bracket,Phase,1,2,3,4
DBFZ - OCE - (PC-Steam),OCE,Dragon Ball FighterZ,<a href='https://youtu.be/amzDbJMVDJk'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/dragon-ball-fighterz-oce/overview,Full Tourney,<b>Dusk</b> | Novix (@Novix_AU),CugeltheClever1 (@EstoEsElFin12),<b>SSC</b> | gohankun (@gohankundbfz),Nolbie (@Nolbiee)
EFZ - NA+EU - (PC-Caster),"NA, EU",Eternal Fighter Zero,<a href='https://youtu.be/wfM9nSJznos'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/eternal-fighter-zero-na-eu/overview,Full Tourney,WHITELEN,GordianBot,Stafy,Guruslum
EFZ - SA/BR - (PC-Caster),BR,Eternal Fighter Zero,<a href='https://www.youtube.com/watch?v=VV3mK9h-pLk'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/eternal-fighter-zero-br/overview,Full Tourney,<b>Gensou</b> | Lusvik (@gustavo_lusvik),<b>HFTFBR</b> | Ardan do Infinito (@ArdanDoInfinito),<b>LDG</b> | Ikkisoad (@Ikkisoad),<b>EFZ</b> | Minos (@Imjustbored_BR)
EFZ - SA/SUD - (PC-Caster),SUD,Eternal Fighter Zero,<a href='https://youtu.be/P8fpkM0dzCs'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/eternal-fighter-zero-sud/overview,Full Tourney,Juaking (@LotteBestWitch),joelinhus (@__joelinhus),Aslet (@Aslet6),<b>VFC</b> | PyroNacho (@Pyronacho__)
FOA - NA+EU - (PC-Steam),"NA, EU",Fight of Animals,<a href='https://www.youtube.com/watch?v=f0dRHQ60gXk'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/fight-of-animals-na-eu/overview,Full Tourney,<b>S-Men</b> | ChairGTables (@ChairGTables),Lem (@Lem___________),YFDHippo (@YFDHippo),<b>S-Men</b> | Hazuki
FEXL - ALL - (PC-Steam),ALL,Fighting EX Layer,"<a href='https://www.twitch.tv/videos/1756970432'>VOD 1</a>, <a href='https://www.twitch.tv/videos/1756970513'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/fighting-ex-layer-global/overview,Top 8,Disintegration,<b>FLY</b> | D'Nyc3 (@DiNyc3st),wavyammar (@wavyamar),MikeZorD
MOTW - EU - (PC-Fightcade),EU,Garou: Mark of the Wolves,<a href='https://youtu.be/B62GjSDuR_U'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/garou-mark-of-the-wolves-eu/overview,Top 8,Kota (@kotahugo),Sko,Don_Bozzi (@Don_Bozzi83),Rafa Leon (@rafa_leonmone)
MOTW - NA - (PC-Fightcade),NA,Garou: Mark of the Wolves,<a href='https://youtu.be/hxL756zKfuA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/garou-mark-of-the-wolves-na/overview,Full Tourney,WhiteFebruary,kaine_ai (@kaine_ai),Hokuto (@FlyingBarcelona),Faze stigge
MOTW - SA/BR - (PC-Fightcade),BR,Garou: Mark of the Wolves,<a href='https://youtu.be/HrMqRmFLAps'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/garou-mark-of-the-wolves-br/overview,Full Tourney,VWatchDog (@vitorwatchdog),Lcfreezer (@lcfreezer),IgãoDK (@Igor7374),!Well
GOF2 - ALL - (PC),ALL,Glove on Fight 2: Gleam of Force,<a href='https://youtu.be/r-3cpt5a5ks'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/glove-on-fight-2-gleam-of-force-global/overview,Full Tourney,4ndele (@4ndele),Ryou (@distantWarrior),Vick (@TheSailorVick),Landorf
